              0	   6948	    182	     54	    146	   1323	     43	     10	     28	  -5888	   -150	    -45	   -123
              1	   6916	   1052	    354	    833	   1328	    251	     70	    165	  -5819	   -864	   -298	   -702
              2	   6921	   2682	   1061	   2090	   1313	    643	    210	    416	  -5847	  -2202	   -892	  -1761
              3	   6879	   4083	   1989	   3092	   1279	    979	    392	    619	  -5826	  -3347	  -1671	  -2600
              4	   6791	   4348	   2680	   3128	   1272	   1038	    528	    627	  -5727	  -3558	  -2248	  -2621
              5	   6747	   3821	   2839	   2523	   1253	    898	    563	    500	  -5685	  -3124	  -2375	  -2106
              6	   6754	   3391	   2542	   2021	   1229	    783	    514	    397	  -5705	  -2772	  -2117	  -1682
              7	   6738	   3366	   2075	   1865	   1202	    785	    439	    382	  -5708	  -2751	  -1715	  -1545
              8	   6674	   3473	   1681	   1814	   1189	    837	    377	    406	  -5644	  -2832	  -1379	  -1492
              9	   6605	   3442	   1441	   1648	   1265	    840	    331	    393	  -5578	  -2804	  -1179	  -1346
             10	   6546	   3284	   1303	   1385	   1175	    770	    286	    317	  -5536	  -2692	  -1076	  -1137
             11	   6492	   3136	   1181	   1142	   1048	    671	    232	    216	  -5554	  -2603	   -991	   -960
             12	   6443	   3052	   1025	    961	   1004	    603	    175	    143	  -5550	  -2561	   -875	   -829
             13	   6398	   2991	    836	    807	    997	    580	    129	    115	  -5505	  -2519	   -721	   -700
             14	   6326	   2915	    645	    647	   1009	    580	    104	    114	  -5422	  -2447	   -553	   -551
             15	   6276	   2828	    477	    489	    976	    578	     98	    114	  -5404	  -2365	   -395	   -400
             16	   6266	   2753	    340	    352	    975	    567	    103	    108	  -5383	  -2296	   -261	   -270
             17	   6226	   2694	    230	    239	    976	    557	    110	    104	  -5341	  -2243	   -150	   -163
             18	   6200	   2640	    136	    139	    985	    552	    114	    106	  -5321	  -2196	    -61	    -68
             19	   6177	   2586	     55	     48	    963	    547	    113	    111	  -5306	  -2150	      9	     17
             20	   6161	   2535	    -16	    -28	    949	    537	    107	    114	  -5306	  -2113	     69	     86
             21	   6140	   2487	    -87	    -94	    951	    517	    100	    108	  -5289	  -2084	    130	    141
             22	   6097	   2426	   -169	   -166	    926	    490	     97	     97	  -5259	  -2039	    210	    203
             23	   6044	   2326	   -274	   -267	    895	    465	     99	     89	  -5221	  -1948	    323	    304
             24	   5960	   2187	   -404	   -399	    876	    452	    105	     94	  -5135	  -1805	    462	    451
             25	   5811	   2042	   -535	   -529	    851	    443	    103	    106	  -4978	  -1658	    593	    595
             26	   5674	   1934	   -629	   -614	    893	    414	     83	     97	  -4837	  -1573	    670	    670
             27	   5711	   1881	   -646	   -637	    772	    344	     40	     50	  -4956	  -1578	    651	    649
             28	   5821	   1883	   -570	   -598	    667	    247	    -19	    -23	  -5127	  -1653	    532	    551
             29	   5852	   1953	   -422	   -484	    596	    153	    -81	    -93	  -5226	  -1783	    348	    393
             30	   5874	   2095	   -266	   -293	    532	     85	   -129	   -137	  -5270	  -1952	    170	    191
             31	   6086	   2222	   -178	   -111	    479	     41	   -160	   -157	  -5477	  -2087	     75	     16
             32	   6388	   2180	   -207	    -92	    450	      5	   -176	   -168	  -5781	  -2062	     98	     -1
             33	   5808	   1910	   -332	   -297	    410	    -34	   -187	   -182	  -5268	  -1828	    214	    183
             34	   5440	   1548	   -480	   -589	    363	    -77	   -198	   -202	  -4942	  -1512	    347	    447
             35	   5411	   1319	   -581	   -745	    330	   -118	   -213	   -218	  -4921	  -1320	    431	    582
             36	   5421	   1315	   -627	   -671	    294	   -152	   -228	   -227	  -4955	  -1342	    461	    501
             37	   5377	   1402	   -663	   -504	    254	   -178	   -237	   -230	  -4966	  -1443	    486	    337
             38	   5327	   1323	   -729	   -501	    260	   -201	   -233	   -230	  -4902	  -1380	    548	    334
             39	   5245	    978	   -794	   -760	    247	   -215	   -214	   -223	  -4817	  -1058	    617	    587
             40	   5035	    630	   -761	  -1023	    223	   -208	   -182	   -195	  -4640	   -726	    601	    849
             41	   4619	    723	   -555	   -842	    238	   -180	   -147	   -147	  -4248	   -807	    426	    695
             42	   5026	   1339	   -211	   -137	    338	   -155	   -121	   -104	  -4580	  -1381	    122	     48
             43	   6279	   1930	    134	    542	    273	   -161	   -109	    -93	  -5786	  -1929	   -188	   -574
             44	   6939	   1891	    364	    592	    255	   -196	   -107	   -112	  -6414	  -1888	   -398	   -608
             45	   5556	   1392	    477	    181	    223	   -225	   -104	   -126	  -5101	  -1421	   -506	   -218
             46	   4439	   1207	    544	     85	    214	   -218	    -91	   -105	  -4026	  -1265	   -572	   -137
             47	   5573	   1609	    573	    574	    260	   -185	    -71	    -61	  -5152	  -1660	   -597	   -609
             48	   7517	   1897	    476	    948	    303	   -167	    -56	    -33	  -7016	  -1926	   -494	   -951
             49	   5701	   1381	    203	    516	    267	   -189	    -54	    -46	  -5226	  -1416	   -222	   -516
             50	   3957	    407	   -140	   -374	    202	   -229	    -64	    -79	  -3545	   -480	    111	    344
             51	   3788	    -94	   -362	   -795	    174	   -249	    -77	    -94	  -3429	    -16	    316	    735
             52	   5114	    171	   -361	   -451	    223	   -240	    -85	    -81	  -4736	   -292	    302	    386
             53	   5266	    616	   -215	     70	    231	   -225	    -82	    -63	  -4864	   -732	    150	   -124
             54	   4705	    647	    -80	    174	    221	   -222	    -67	    -59	  -4313	   -761	     23	   -222
             55	   4467	    313	    -50	    -88	    226	   -217	    -40	    -55	  -4090	   -426	     14	     44
             56	   4447	     27	   -109	   -306	    250	   -185	     -5	    -24	  -4059	   -121	    102	    284
             57	   4463	    -17	   -186	   -286	    279	   -128	     27	     28	  -4032	    -36	    205	    306
             58	   4480	     41	   -225	   -164	    409	    -85	     45	     67	  -3970	    -66	    257	    214
             59	   4380	     35	   -210	   -111	    351	    -88	     42	     59	  -3909	    -67	    238	    153
             60	   4311	    -32	   -150	   -123	    292	   -121	     27	     20	  -3902	    -32	    164	    132
             61	   4347	    -59	    -56	    -97	    288	   -138	     15	     -4	  -3943	    -25	     61	     85
             62	   4452	      0	     55	     10	    330	   -115	     20	      9	  -4007	    -68	    -45	     -9
             63	   4540	     95	    164	    152	    384	    -67	     42	     48	  -4071	   -126	   -133	   -117
             64	   4542	    157	    240	    258	    396	    -23	     72	     83	  -4047	   -155	   -184	   -192
             65	   4543	    146	    260	    288	    424	      2	     94	     99	  -4035	   -128	   -186	   -209
             66	   4534	     60	    219	    239	    452	     12	    101	     98	  -4008	    -39	   -140	   -161
             67	   4381	    -74	    141	    138	    442	     13	     93	     88	  -3881	     90	    -69	    -70
             68	   4200	   -200	     68	     44	    432	     13	     77	     77	  -3689	    210	     -8	     13
             69	   4165	   -259	     37	     13	    435	     16	     64	     67	  -3658	    265	     11	     35
             70	   4214	   -243	     58	     55	    452	     22	     61	     62	  -3730	    251	    -14	    -10
             71	   4246	   -198	    110	    124	    465	     38	     72	     66	  -3735	    213	    -62	    -76
             72	   4268	   -175	    154	    166	    477	     67	     91	     84	  -3735	    203	   -100	   -112
