Entropy,Category
1.4949817474274616,term
1.0542854287419503,term
1.086367518959315,term
1.63650253639326,term
1.5900750045156116,term
1.1422726475448215,term
1.054222850627737,term
1.2729883833107465,term
1.5937973208357346,term
1.8640537257385996,term
1.7268742357225024,preterm
1.098817149883967,preterm
1.6322190237647562,preterm
1.4810198547983022,preterm
1.1778939528153582,preterm
0.7745901496729332,preterm
1.1908583968172122,preterm
1.552393697016359,preterm
0.9933999227685917,preterm
1.3912252453224927,preterm
